06-Aug-20,AFIB,$18.00
06-Aug-20,KSMT,$10.00
06-Aug-20,GRSV,$10.00
07-Aug-20,IBEX,$19.00
07-Aug-20,VMAC,$10.00
07-Aug-20,CMPI,$15.00
07-Aug-20,FRLN,$18.00
07-Aug-20,ARYA,$10.00
12-Aug-20,KBNT,$5.00
12-Aug-20,FAII,$10.00
12-Aug-20,FSDC,$10.00
13-Aug-20,NTST,$18.00
13-Aug-20,BEKE,$20.00
13-Aug-20,RBAC,$10.00
14-Aug-20,DCT,$27.00
14-Aug-20,CVAC,$16.00
14-Aug-20,DMYD,$10.00
14-Aug-20,DGNR,$10.00
14-Aug-20,LCAP,$10.00
18-Aug-20,NGA,$10.00
18-Aug-20,STPK,$10.00
18-Aug-20,FIII,$10.00
18-Aug-20,AONE,$10.00
19-Aug-20,HRMY,$24.00
19-Aug-20,INBX,$17.00
19-Aug-20,BFT,$10.00
21-Aug-20,NNOX,$18.00
21-Aug-20,KYMR,$20.00
21-Aug-20,CLA,$10.00
21-Aug-20,FST,$10.00
21-Aug-20,HZAC,$10.00
26-Aug-20,FTOC,$10.00
27-Aug-20,BTAQ,$10.00
27-Aug-20,XPEV,$15.00
27-Aug-20,CFII,$10.00
28-Aug-20,HCDI,$6.00
28-Aug-20,GP,$20.00
31-Aug-20,AUVI,$5.00
01-Sep-20,PRFX,$8.00
02-Sep-20,CMLF,$10.00
03-Sep-20,INAQ,$10.00
03-Sep-20,BCTG,$10.00
04-Sep-20,TWND,$10.00
04-Sep-20,CAPA,$10.00
09-Sep-20,CRHC,$10.00
09-Sep-20,ITAC,$10.00
10-Sep-20,NSH,$10.00
10-Sep-20,PIAI,$10.00
10-Sep-20,SVAC,$10.00
11-Sep-20,TWCT,$10.00
11-Sep-20,SNPR,$10.00
11-Sep-20,BSN,$10.00
11-Sep-20,LEAP,$10.00
11-Sep-20,LSPD,$30.50
15-Sep-20,SAII,$10.00
15-Sep-20,SBG,$10.00
15-Sep-20,OM,$27.00
16-Sep-20,SNOW,$120.00
16-Sep-20,FROG,$44.00
16-Sep-20,EQD,$10.00
16-Sep-20,ENPC,$25.00
16-Sep-20,MTCR,$13.00
16-Sep-20,STEP,$18.00
17-Sep-20,AMWL,$18.00
17-Sep-20,SUMO,$22.00
17-Sep-20,STWO,$10.00
17-Sep-20,OACB,$10.00
17-Sep-20,RTP,$10.00
17-Sep-20,DYN,$19.00
17-Sep-20,PTVE,$14.00
17-Sep-20,BNL,$17.00
18-Sep-20,U,$52.00
18-Sep-20,AHAC,$10.00
18-Sep-20,CMPS,$17.00
18-Sep-20,ATHA,$17.00
18-Sep-20,VTRU,$16.00
18-Sep-20,NMMC,$10.00
22-Sep-20,PMVC,$10.00
22-Sep-20,FCAC,$10.00
23-Sep-20,CRSR,$17.00
23-Sep-20,LSF,$22.00
23-Sep-20,GDRX,$33.00
23-Sep-20,BSY,$22.00
23-Sep-20,ACTC,$10.00
23-Sep-20,VIH,$10.00
23-Sep-20,ASPL,$10.00
24-Sep-20,PDAC,$10.00
24-Sep-20,TSHA,$20.00
25-Sep-20,AMST,$5.00
25-Sep-20,PRLD,$19.00
25-Sep-20,PMVP,$18.00
25-Sep-20,GRAY,$16.00
25-Sep-20,VIAO,$15.00
25-Sep-20,GLSI,$5.75
25-Sep-20,FTIV,$10.00
25-Sep-20,VACQ,$10.00
25-Sep-20,SYTA,$7.25
29-Sep-20,ORPH,$11.00
30-Sep-20,PLTR,$7.25
30-Sep-20,FGNA,$10.00
30-Sep-20,BQ,$10.00
30-Sep-20,ASAN,$21.00
30-Sep-20,YALA,$7.50
30-Sep-20,CD,$13.50
30-Sep-20,VSPR,$10.00
30-Sep-20,CLII,$10.00
30-Sep-20,QELL,$10.00
01-Oct-20,AVO,$12.00
01-Oct-20,RCHG,$10.00
01-Oct-20,IGAC,$10.00
01-Oct-20,LXEH,$9.25
01-Oct-20,IMPX,$10.00
01-Oct-20,THRY,$10.17
01-Oct-20,LUNG,$19.00
01-Oct-20,AGC,$10.00
02-Oct-20,ASO,$13.00
02-Oct-20,IMNM,$12.00
02-Oct-20,CCCC,$19.00
02-Oct-20,ONCR,$15.00
02-Oct-20,ASAQ,$10.00
02-Oct-20,SEAH,$10.00
02-Oct-20,VYGG,$10.00
02-Oct-20,IACA,$10.00
02-Oct-20,AVAN,$10.00
02-Oct-20,VGAC,$10.00
02-Oct-20,APSG,$10.00
06-Oct-20,FMAC,$10.00
07-Oct-20,SQFT,$5.00
07-Oct-20,TPGY,$10.00
07-Oct-20,PACE,$10.00
07-Oct-20,MAAC,$10.00
07-Oct-20,EMPW,$10.00
07-Oct-20,NGAC,$10.00
08-Oct-20,PAIC,$10.00
08-Oct-20,AZYO,$17.00
08-Oct-20,FUBO,$10.00
09-Oct-20,INTZ,$8.00
09-Oct-20,IH,$12.00
09-Oct-20,LCY,$10.00
09-Oct-20,IPOD,$10.00
09-Oct-20,IPOE,$10.00
09-Oct-20,IPOF,$10.00
09-Oct-20,STTK,$17.00
09-Oct-20,SPRB,$15.00
09-Oct-20,KRON,$19.00
14-Oct-20,CDAK,$15.00
14-Oct-20,FVAM,$10.00
15-Oct-20,ARRY,$22.00
15-Oct-20,MNSO,$20.00
15-Oct-20,MOTN,$10.00
15-Oct-20,TMTS,$10.00
15-Oct-20,EBC,$10.00
16-Oct-20,KRBP,$12.00
16-Oct-20,BTWN,$10.00
16-Oct-20,OPT,$13.50
16-Oct-20,PRAX,$19.00
16-Oct-20,EAR,$18.00
16-Oct-20,TARS,$16.00
16-Oct-20,ALGS,$15.00
16-Oct-20,TMPM,$10.00
20-Oct-20,GWAC,$10.00
20-Oct-20,DCRB,$10.00
20-Oct-20,HZON,$10.00
20-Oct-20,HLXA,$10.00
21-Oct-20,YGMZ,$4.00
21-Oct-20,SPNV,$10.00
21-Oct-20,HIGA,$10.00
21-Oct-20,MSP,$27.00
21-Oct-20,SRSA,$10.00
21-Oct-20,XPOA,$10.00
21-Oct-20,LFTR,$10.00
22-Oct-20,TEKK,$10.00
22-Oct-20,MCFE,$20.00
22-Oct-20,GHLD,$15.00
22-Oct-20,BLSA,$10.00
22-Oct-20,CTAC,$10.00
22-Oct-20,ABCM,$17.50
22-Oct-20,RICE,$10.00
22-Oct-20,YSAC,$10.00
23-Oct-20,FHTX,$16.00
23-Oct-20,ACAC,$10.00
23-Oct-20,EUCR,$10.00
23-Oct-20,ATAC,$10.00
27-Oct-20,MACU,$10.00
27-Oct-20,LUXA,$10.00
28-Oct-20,BOAC,$10.00
28-Oct-20,GATO,$7.00
28-Oct-20,BDSX,$18.00
28-Oct-20,MAX,$19.00
28-Oct-20,ROOT,$27.00
28-Oct-20,AJAX,$10.00
28-Oct-20,ACIC,$10.00
28-Oct-20,ABST,$11.00
29-Oct-20,DSAC,$10.00
29-Oct-20,ALGM,$14.00
29-Oct-20,GLTO,$15.00
29-Oct-20,LESL,$17.00
30-Oct-20,JUPW,$7.50
30-Oct-20,BHSE,$10.00
30-Oct-20,NBA,$10.00
30-Oct-20,CONX,$10.00
30-Oct-20,LU,$13.50
30-Oct-20,AVIR,$24.00
30-Oct-20,SQZ,$16.00
06-Nov-20,DBDR,$10.00
10-Nov-20,ADOC,$10.00
10-Nov-20,TSIA,$10.00
11-Nov-20,NOAC,$10.00
11-Nov-20,STIC,$10.00
13-Nov-20,CFAC,$10.00
13-Nov-20,BWAC,$10.00
13-Nov-20,DMYI,$10.00
13-Nov-20,HAAC,$10.00
17-Nov-20,OTRA,$10.00
17-Nov-20,PIPP,$10.00
17-Nov-20,ZNTE,$10.00
17-Nov-20,DGNS,$10.00
18-Nov-20,PHIC,$10.00
19-Nov-20,TLS,$17.00
19-Nov-20,CHFW,$10.00
19-Nov-20,IIAC,$10.00
19-Nov-20,LNFA,$10.00
19-Nov-20,NGMS,$17.00
19-Nov-20,YSG,$10.50
19-Nov-20,OLMA,$19.00
19-Nov-20,RTPZ,$10.00
19-Nov-20,JYAC,$10.00
20-Nov-20,ARBG,$10.00
20-Nov-20,CAS,$10.00
20-Nov-20,KWAC,$10.00
20-Nov-20,LSAQ,$10.00
20-Nov-20,SHC,$23.00
20-Nov-20,OCA,$10.00
20-Nov-20,MRVI,$27.00
23-Nov-20,BREZ,$10.00
24-Nov-20,VMAR,$10.00
24-Nov-20,HFEN,$7.00
24-Nov-20,GNPK,$10.00
24-Nov-20,SV,$10.00
24-Nov-20,VCVC,$10.00
24-Nov-20,TINV,$10.00
24-Nov-20,OZON,$30.00
25-Nov-20,FRX,$10.00
25-Nov-20,SPRQ,$10.00
30-Nov-20,SGAM,$10.00
02-Dec-20,CAP,$10.00
02-Dec-20,RSVA,$10.00
02-Dec-20,TACA,$10.00
03-Dec-20,LOKB,$10.00
03-Dec-20,KNTE,$20.00
03-Dec-20,FPAC,$10.00
03-Dec-20,SPFR,$10.00
03-Dec-20,HTPA,$10.00
03-Dec-20,DCBO,$52.21
04-Dec-20,PTIC,$10.00
04-Dec-20,FTCV,$10.00
04-Dec-20,SBTX,$21.00
04-Dec-20,SEER,$19.00
04-Dec-20,SGTX,$18.00
04-Dec-20,YQ,$10.50
08-Dec-20,MUDS,$10.00
08-Dec-20,CND,$10.00
08-Dec-20,DDMX,$10.00
08-Dec-20,RAAC,$10.00
09-Dec-20,ALTU,$10.00
09-Dec-20,DASH,$102.00
09-Dec-20,PUBM,$20.00
09-Dec-20,AI,$42.00
09-Dec-20,HMCO,$10.00
09-Dec-20,NEBC,$10.00
09-Dec-20,FLAC,$10.00
10-Dec-20,RMGB,$10.00
10-Dec-20,CTAQ,$10.00
10-Dec-20,PCPC,$25.00
10-Dec-20,HYFM,$20.00
10-Dec-20,ABNB,$68.00
11-Dec-20,DWIN,$10.00
11-Dec-20,EDTX,$10.00
11-Dec-20,GHVI,$10.00
11-Dec-20,TVAC,$10.00
11-Dec-20,VVOS,$6.00
11-Dec-20,CBAH,$10.00
11-Dec-20,FDMT,$23.00
11-Dec-20,CERT,$23.00
11-Dec-20,ABCL,$20.00
11-Dec-20,NBTX,$13.50
11-Dec-20,SNRH,$10.00
11-Dec-20,ROCC,$10.00
11-Dec-20,GLAQ,$10.00
11-Dec-20,MOTV,$10.00
15-Dec-20,BLUW,$10.00
15-Dec-20,OCG,$4.00
15-Dec-20,WNW,$5.00
15-Dec-20,KINZ,$10.00
15-Dec-20,ATA,$10.00
15-Dec-20,MRAC,$10.00
16-Dec-20,CCV,$10.00
16-Dec-20,UPST,$20.00
16-Dec-20,BCAB,$18.00
16-Dec-20,WISH,$24.00
16-Dec-20,SCPS,$5.50
17-Dec-20,VIRI,$10.00
